timestep,agent_0_vs_0_mean,agent_0_vs_0_variance,agent_0_vs_0_std_dev,agent_0_vs_0_q1,agent_0_vs_0_q3,agent_0_vs_1_mean,agent_0_vs_1_variance,agent_0_vs_1_std_dev,agent_0_vs_1_q1,agent_0_vs_1_q3,agent_0_vs_2_mean,agent_0_vs_2_variance,agent_0_vs_2_std_dev,agent_0_vs_2_q1,agent_0_vs_2_q3
0,-0.00041162945592950563,0.0007449913469492349,0.027294529615826593,-0.021107330918312073,0.021140122786164284,-6.570353690040065e-06,8.484808083622432e-05,0.009211301799215154,-0.006638721562922001,0.006537954090163112,6.548130186274648e-07,6.684488067743221e-05,0.008175871860384811,-0.005631133099086583,0.005644024815410376
1,-0.0003528666194179095,0.0007071205335787475,0.026591738069910876,-0.020514720119535923,0.020498308818787336,-1.2692886037621065e-05,7.959813955341112e-05,0.00892177894555851,-0.006346489768475294,0.006348865921609104,2.790863406698918e-06,6.457590044803798e-05,0.008035913168273907,-0.005549228168092668,0.005577836243901402
2,-0.00033168316135221787,0.0006806197821121722,0.026088690693711943,-0.020158702197174232,0.02004316969153782,-2.230169492783411e-05,7.636366462859053e-05,0.008738630592294797,-0.006181777222082019,0.006158334823946158,-2.1051502325766093e-06,6.268806039738728e-05,0.007917579200575595,-0.0055236575814584885,0.005500919806460539
3,-0.00033588061207919965,0.0006650162502779941,0.025787908993906313,-0.01994390063919127,0.01970882384921424,-1.4907715883509809e-05,7.420187927280104e-05,0.008614051269455102,-0.005963656571111642,0.006038052059011534,-1.1217984145696392e-05,6.167677114922557e-05,0.007853456000336767,-0.0055100127356126904,0.005453223449876532
4,-0.00031352286791487126,0.0006543242747022913,0.025579762991519123,-0.019742127531208097,0.01955217199865729,-3.8140775918873244e-06,7.255629298156388e-05,0.00851799817924164,-0.005866428453009575,0.0059811362298205495,-1.6006871684512575e-05,6.0683909218106195e-05,0.007789987754682686,-0.005477162392344326,0.0053885719680693
5,-0.00023887710422277459,0.0006514866471319671,0.02552423646521022,-0.019805448269471525,0.019790946319699285,4.786660382014824e-06,7.3339076725006e-05,0.008563823721037584,-0.005981172737665475,0.006023169448599219,-2.4862582393398024e-05,6.192686531898025e-05,0.007869362446792006,-0.005551092146197334,0.005428845924325287
6,-0.00015178254289843616,0.0006618011788538498,0.025725496668749657,-0.020100514276418836,0.01991326129063964,1.8262445770305917e-05,7.494641937820699e-05,0.00865716000650369,-0.005952569784130901,0.0060781226144172255,-3.883500713855028e-05,6.256140195276751e-05,0.007909576597566238,-0.0055700580007396645,0.005497383896727115
7,-4.1529519706964416e-05,0.0006828868059559599,0.02613210297614717,-0.020516531495377424,0.020223624492064118,4.4468104936895546e-05,7.718715896149608e-05,0.008785622286525643,-0.0061130459187552335,0.006284099415643141,-3.5989219397306445e-05,6.348971204407354e-05,0.007968043175339447,-0.0056425970164127644,0.0055540081346407534
8,7.868772802350583e-05,0.000710188955025298,0.0266493706309417,-0.021023733587935568,0.02077174840960652,6.247498218115651e-05,7.941606143911715e-05,0.008911568966187557,-0.006296630029100925,0.006466885039117187,-3.05410341284005e-05,6.393068252728064e-05,0.007995666484245115,-0.005558914376888424,0.005518971534911543
9,0.00017760557123343474,0.0007413468058872095,0.027227684548767814,-0.021445340663194656,0.021556865796446802,7.601176350421154e-05,8.141232714364483e-05,0.009022877985634342,-0.0063498079311102625,0.006576121575199067,-2.4841948350076554e-05,6.417718509784557e-05,0.008011066414519702,-0.005548328859731555,0.005498620169237255
