cluster_id,cluster_size,centroid_dim
0,144,54
1,332,54
2,167,54
3,297,54
4,364,54
5,312,54
6,159,54
7,328,54
8,234,54
9,332,54
10,220,54
11,173,54
12,180,54
13,274,54
14,188,54
15,231,54
16,409,54
17,283,54
18,159,54
19,411,54
20,206,54
21,403,54
22,376,54
23,288,54
24,330,54
25,257,54
26,447,54
27,245,54
28,319,54
29,478,54
30,281,54
31,304,54
32,431,54
33,272,54
34,270,54
35,190,54
36,189,54
37,348,54
38,321,54
39,262,54
40,253,54
41,255,54
42,343,54
43,100,54
44,252,54
45,354,54
46,219,54
47,178,54
48,239,54
49,283,54
50,234,54
51,244,54
52,322,54
53,378,54
54,270,54
55,307,54
56,246,54
57,314,54
58,363,54
59,144,54
60,186,54
61,200,54
62,366,54
63,213,54
64,447,54
65,192,54
66,320,54
67,274,54
68,302,54
69,174,54
70,298,54
71,277,54
72,178,54
73,289,54
74,180,54
75,359,54
76,335,54
77,411,54
78,278,54
79,213,54
80,138,54
81,256,54
82,269,54
83,286,54
84,325,54
85,282,54
86,269,54
87,322,54
88,195,54
89,473,54
90,277,54
91,338,54
92,268,54
93,185,54
94,385,54
95,579,54
96,385,54
97,152,54
98,189,54
99,229,54
100,291,54
101,321,54
102,159,54
103,296,54
104,373,54
105,181,54
106,164,54
107,353,54
108,375,54
109,341,54
110,163,54
111,203,54
112,237,54
113,225,54
114,354,54
115,163,54
116,142,54
117,288,54
118,208,54
119,275,54
120,171,54
121,294,54
122,341,54
123,303,54
124,188,54
125,282,54
126,145,54
127,191,54
128,206,54
129,331,54
130,230,54
131,313,54
132,183,54
133,208,54
134,303,54
135,146,54
136,168,54
137,263,54
138,444,54
139,283,54
140,167,54
141,228,54
142,323,54
143,305,54
144,267,54
145,172,54
146,413,54
147,241,54
148,155,54
149,300,54
150,307,54
151,341,54
152,203,54
153,340,54
154,258,54
155,216,54
156,235,54
157,340,54
158,206,54
159,315,54
160,298,54
161,224,54
162,282,54
163,227,54
164,446,54
165,173,54
166,336,54
167,182,54
168,203,54
169,218,54
170,281,54
171,141,54
172,286,54
173,167,54
174,248,54
175,467,54
176,223,54
177,167,54
178,499,54
179,237,54
180,330,54
181,142,54
182,273,54
183,243,54
184,155,54
185,232,54
186,346,54
187,474,54
188,402,54
189,400,54
190,143,54
191,143,54
192,201,54
193,246,54
194,191,54
195,251,54
196,193,54
197,258,54
198,332,54
199,192,54
200,247,54
201,184,54
202,292,54
203,359,54
204,239,54
205,333,54
206,316,54
207,156,54
208,328,54
209,305,54
210,330,54
211,241,54
212,216,54
213,174,54
214,199,54
215,387,54
216,253,54
217,271,54
218,194,54
219,360,54
220,204,54
221,266,54
222,181,54
223,131,54
224,176,54
225,148,54
226,426,54
227,190,54
228,322,54
229,403,54
230,239,54
231,186,54
232,237,54
233,372,54
234,232,54
235,152,54
236,225,54
237,242,54
238,297,54
239,62,54
240,226,54
241,160,54
242,135,54
243,153,54
244,256,54
245,567,54
246,289,54
247,272,54
248,136,54
249,179,54
250,274,54
251,229,54
252,266,54
253,166,54
254,254,54
255,264,54
256,154,54
257,146,54
258,184,54
259,189,54
260,272,54
261,415,54
262,307,54
263,253,54
264,285,54
265,206,54
266,376,54
267,249,54
268,350,54
269,281,54
270,235,54
271,302,54
272,431,54
273,424,54
274,131,54
275,245,54
276,238,54
277,170,54
278,210,54
279,87,54
280,307,54
281,324,54
282,198,54
283,259,54
284,334,54
285,430,54
286,278,54
287,324,54
288,203,54
289,214,54
290,289,54
291,197,54
292,268,54
293,286,54
294,226,54
295,264,54
296,276,54
297,263,54
298,194,54
299,287,54
300,299,54
301,200,54
302,429,54
303,296,54
304,217,54
305,174,54
306,138,54
307,203,54
308,273,54
309,149,54
310,313,54
311,304,54
312,234,54
313,303,54
314,211,54
315,222,54
316,180,54
317,196,54
318,228,54
319,274,54
320,148,54
321,182,54
322,139,54
323,239,54
324,211,54
325,151,54
326,403,54
327,217,54
328,273,54
329,282,54
330,153,54
331,260,54
332,188,54
333,201,54
334,216,54
335,406,54
336,175,54
337,181,54
338,422,54
339,275,54
340,415,54
341,186,54
342,185,54
343,312,54
344,252,54
345,161,54
346,183,54
347,231,54
348,463,54
349,217,54
350,270,54
351,246,54
352,272,54
353,181,54
354,243,54
355,265,54
356,280,54
357,229,54
358,144,54
359,180,54
360,210,54
361,230,54
362,251,54
363,188,54
364,202,54
365,282,54
366,325,54
367,343,54
368,284,54
369,189,54
370,170,54
371,147,54
372,283,54
373,173,54
374,359,54
375,269,54
376,308,54
377,179,54
378,381,54
379,396,54
380,239,54
381,203,54
382,301,54
383,357,54
384,216,54
385,250,54
386,333,54
387,372,54
388,362,54
389,380,54
390,421,54
391,281,54
392,288,54
393,195,54
394,166,54
395,187,54
396,280,54
397,368,54
398,381,54
399,233,54
400,272,54
401,327,54
402,213,54
403,340,54
404,153,54
405,160,54
406,201,54
407,332,54
408,337,54
409,142,54
410,239,54
411,261,54
412,280,54
413,178,54
414,414,54
415,272,54
416,312,54
417,191,54
418,252,54
419,165,54
420,272,54
421,270,54
422,120,54
423,329,54
424,400,54
425,133,54
426,370,54
427,253,54
428,193,54
429,88,54
430,160,54
431,291,54
432,344,54
433,201,54
434,157,54
435,161,54
436,230,54
437,219,54
438,405,54
439,258,54
440,338,54
441,359,54
442,195,54
443,285,54
444,267,54
445,369,54
446,170,54
447,199,54
448,232,54
449,233,54
450,371,54
451,482,54
452,274,54
453,440,54
454,392,54
455,313,54
456,249,54
457,290,54
458,200,54
459,311,54
460,419,54
461,305,54
462,331,54
463,91,54
464,220,54
465,208,54
466,173,54
467,256,54
468,313,54
469,284,54
470,170,54
471,178,54
472,179,54
473,171,54
474,372,54
475,370,54
476,196,54
477,214,54
478,179,54
479,284,54
480,190,54
481,274,54
482,473,54
483,556,54
484,236,54
485,269,54
486,295,54
487,311,54
488,142,54
489,291,54
490,153,54
491,340,54
492,225,54
493,265,54
494,95,54
495,351,54
496,231,54
497,328,54
498,231,54
499,395,54
500,316,54
501,240,54
502,158,54
503,169,54
504,218,54
505,416,54
506,145,54
507,232,54
508,185,54
509,147,54
510,134,54
511,313,54
512,278,54
513,193,54
514,300,54
515,230,54
516,232,54
517,136,54
518,205,54
519,186,54
520,296,54
521,251,54
522,134,54
523,219,54
524,252,54
525,275,54
526,146,54
527,209,54
528,97,54
529,220,54
530,354,54
531,157,54
532,265,54
533,383,54
534,175,54
535,226,54
536,177,54
537,306,54
538,179,54
539,264,54
540,182,54
541,301,54
542,145,54
543,236,54
544,271,54
545,156,54
546,186,54
547,271,54
548,298,54
549,318,54
550,221,54
551,292,54
552,247,54
553,217,54
554,226,54
555,167,54
556,150,54
557,193,54
558,172,54
559,164,54
560,174,54
561,338,54
562,226,54
563,230,54
564,240,54
565,167,54
566,470,54
567,267,54
568,175,54
569,331,54
570,195,54
571,331,54
572,381,54
573,324,54
574,209,54
575,319,54
576,255,54
577,284,54
578,171,54
579,142,54
580,295,54
581,204,54
582,350,54
583,167,54
584,221,54
585,169,54
586,319,54
587,162,54
588,224,54
589,396,54
590,254,54
591,246,54
592,296,54
593,152,54
594,297,54
595,228,54
596,245,54
597,267,54
598,207,54
599,229,54
600,213,54
601,168,54
602,199,54
603,163,54
604,156,54
605,68,54
606,172,54
607,191,54
608,399,54
609,165,54
610,183,54
611,254,54
612,160,54
613,142,54
614,251,54
615,198,54
616,407,54
617,202,54
618,185,54
619,194,54
620,185,54
621,390,54
622,368,54
623,202,54
624,140,54
625,475,54
626,139,54
627,369,54
628,371,54
629,323,54
630,110,54
631,287,54
632,176,54
633,309,54
634,213,54
635,226,54
636,218,54
637,201,54
638,143,54
639,263,54
640,291,54
641,57,54
642,103,54
643,243,54
644,279,54
645,294,54
646,256,54
647,268,54
648,312,54
649,280,54
650,321,54
651,228,54
652,217,54
653,109,54
654,230,54
655,316,54
656,262,54
657,415,54
658,255,54
659,211,54
660,102,54
661,338,54
662,268,54
663,88,54
664,256,54
665,173,54
666,294,54
667,344,54
668,294,54
669,180,54
670,138,54
671,296,54
672,119,54
673,260,54
674,272,54
675,366,54
676,186,54
677,191,54
678,194,54
679,368,54
680,223,54
681,181,54
682,168,54
683,398,54
684,192,54
685,380,54
686,181,54
687,207,54
688,349,54
689,15,54
690,244,54
691,167,54
692,388,54
693,317,54
694,228,54
695,158,54
696,212,54
697,159,54
698,213,54
699,172,54
700,166,54
701,204,54
702,355,54
703,296,54
704,251,54
705,216,54
706,380,54
707,427,54
708,228,54
709,191,54
710,202,54
711,222,54
712,160,54
713,252,54
714,170,54
715,469,54
716,231,54
717,166,54
718,247,54
719,424,54
720,181,54
721,204,54
722,224,54
723,112,54
724,330,54
725,494,54
726,340,54
727,319,54
728,201,54
729,192,54
730,179,54
731,263,54
732,159,54
733,296,54
734,206,54
735,287,54
736,153,54
737,172,54
738,154,54
739,219,54
740,280,54
741,135,54
742,257,54
743,207,54
744,189,54
745,187,54
746,229,54
747,47,54
748,216,54
749,150,54
750,175,54
751,346,54
752,180,54
753,257,54
754,296,54
755,353,54
756,209,54
757,140,54
758,356,54
759,279,54
760,235,54
761,195,54
762,240,54
763,342,54
764,58,54
765,213,54
766,117,54
767,323,54
768,234,54
769,259,54
770,48,54
771,176,54
772,386,54
773,278,54
774,60,54
775,488,54
776,275,54
777,173,54
778,323,54
779,346,54
780,220,54
781,403,54
782,147,54
783,378,54
784,71,54
785,177,54
786,176,54
787,162,54
788,268,54
789,307,54
790,150,54
791,373,54
792,371,54
793,147,54
794,252,54
795,274,54
796,220,54
797,232,54
798,202,54
799,382,54
800,179,54
801,92,54
802,226,54
803,174,54
804,223,54
805,328,54
806,121,54
807,171,54
808,258,54
809,180,54
810,246,54
811,297,54
812,197,54
813,311,54
814,324,54
815,462,54
816,189,54
817,244,54
818,276,54
819,427,54
820,159,54
821,230,54
822,215,54
823,156,54
824,259,54
825,341,54
826,140,54
827,252,54
828,396,54
829,307,54
830,233,54
831,293,54
832,253,54
833,217,54
834,486,54
835,166,54
836,32,54
837,163,54
838,269,54
839,163,54
840,207,54
841,295,54
842,158,54
843,395,54
844,235,54
845,200,54
846,146,54
847,172,54
848,169,54
849,226,54
850,174,54
851,265,54
852,342,54
853,505,54
854,280,54
855,332,54
856,147,54
857,137,54
858,188,54
859,244,54
860,308,54
861,376,54
862,215,54
863,224,54
864,149,54
865,382,54
866,191,54
867,193,54
868,271,54
869,352,54
870,128,54
871,233,54
872,180,54
873,260,54
874,449,54
875,182,54
876,289,54
877,141,54
878,329,54
879,216,54
880,235,54
881,375,54
882,170,54
883,150,54
884,136,54
885,262,54
886,45,54
887,574,54
