timestep,agent_0_vs_0_mean,agent_0_vs_0_variance,agent_0_vs_0_std_dev,agent_0_vs_0_q1,agent_0_vs_0_q3,agent_0_vs_1_mean,agent_0_vs_1_variance,agent_0_vs_1_std_dev,agent_0_vs_1_q1,agent_0_vs_1_q3,agent_0_vs_2_mean,agent_0_vs_2_variance,agent_0_vs_2_std_dev,agent_0_vs_2_q1,agent_0_vs_2_q3
0,-7.621201162409783,20.52905328904198,4.530899832157182,-9.582785606384277,-4.488057732582092,-5.217226833915711,7.616950082089243,2.759882258736637,-6.424189209938049,-3.2844700813293457,-5.9558724428474905,14.08861303115373,3.7534801226533396,-7.202229738235474,-3.5889716148376465
1,-7.447588139277697,14.75799715737191,3.841613874060212,-9.230517745018005,-4.761060923337936,-5.053101313924789,5.848520293317524,2.4183714134345706,-6.245182007551193,-3.3816055357456207,-5.702918490412832,9.176532841474272,3.029279261057698,-6.914108514785767,-3.6952070891857147
2,-7.270923565775156,11.71939537898472,3.4233602467436466,-8.941412925720215,-4.880998988946279,-4.918635990611712,4.887972298562029,2.210875912067891,-6.020506461461385,-3.38052769502004,-5.525874637963374,7.133459161151402,2.670853639035917,-6.7034415404001875,-3.724660634994507
3,-7.157403349582851,10.103847738459367,3.1786550203599266,-8.717483580112457,-4.916132777929306,-4.81417593986988,4.353845809002062,2.0865871199166506,-5.863693878054619,-3.36063389480114,-5.415082509417832,6.212665496237531,2.4925219148961424,-6.556000828742981,-3.705785669386387
4,-7.047497077367901,8.88851671497528,2.9813615538836076,-8.628938293457033,-4.934857654571533,-4.718003244497776,3.9862630444919427,1.996562807550001,-5.699128949642181,-3.3270259618759157,-5.304339855567217,5.660403516803094,2.379160254544257,-6.39579793214798,-3.677702486515045
5,-6.828891957173943,8.717432806542137,2.9525298993476996,-8.397422385215759,-4.697063577175141,-4.51787045328021,4.037110411131666,2.009256183549441,-5.477091073989868,-3.116218638420105,-5.061046364898681,5.665190483451623,2.38016606215861,-6.086626636981964,-3.4485649943351744
6,-6.63581004468739,8.67507880293355,2.9453486725570457,-8.151756429672242,-4.5632578253746034,-4.351795872616768,4.071729593530477,2.0178527184932196,-5.2831113815307615,-2.9675528168678285,-4.888984506511688,5.820319841284704,2.412533904691228,-5.912498879432678,-3.279244589805603
7,-6.501884701728225,8.770070370047277,2.961430460106615,-7.9512064218521115,-4.407518541812896,-4.218810432839394,4.076926454958958,2.019140028566359,-5.132967865467071,-2.8365556836128234,-4.747161021997928,5.918477208051625,2.432792060175227,-5.731748092174531,-3.1378044962882994
8,-6.3635392254203555,8.774432028259357,2.962166779278195,-7.860609412193298,-4.2581263244152066,-4.096228051772118,4.018177477606471,2.0045392182759785,-4.992373013496399,-2.726630312204361,-4.609512706960439,6.004669450130837,2.4504427049271804,-5.565470898151398,-2.9900557518005373
9,-6.246750670131444,8.909628701214212,2.984900115785152,-7.7845299243927,-4.157793736457824,-3.993152510675192,3.9342072166698214,1.983483606352677,-4.8744803905487055,-2.650121277570724,-4.501706176663637,6.024252845102454,2.4544353413977835,-5.467216515541077,-2.890731704235077
10,-6.13781983625412,8.971643325796464,2.9952701590668687,-7.656247365474702,-4.026995348930359,-3.90701174172163,3.8648673429513174,1.9659265863585338,-4.794734191894531,-2.5630952656269073,-4.408260548797846,6.049788187823029,2.4596317179250695,-5.358559012413025,-2.7897462487220768
11,-6.065405024485588,9.166129424341547,3.027561630147526,-7.569019746780395,-3.9460907936096192,-3.843783532419204,3.869440974344904,1.9670894678038677,-4.711442589759827,-2.5057325959205627,-4.334211819064617,6.162638929385759,2.482466299748248,-5.28440352678299,-2.7358043074607847
12,-6.00124899866581,9.203001534507784,3.0336449255817306,-7.482737362384796,-3.867541515827179,-3.7880612620711327,3.8575810753254074,1.9640725738437996,-4.634291934967041,-2.471829652786255,-4.273668280819655,6.199439635619552,2.4898673931797153,-5.197799289226532,-2.6823019802570345
13,-5.949309963359832,9.273695093795935,3.0452742230866394,-7.4653680443763735,-3.761354124546051,-3.7450095650458337,3.87274162459888,1.9679282569745473,-4.572999882698059,-2.4050101399421693,-4.214024073092938,6.073788981522082,2.4645058290704207,-5.126038384437561,-2.6428731203079225
14,-5.927523731497526,9.418819179073123,3.0690094784918998,-7.40410326719284,-3.744059145450592,-3.71761982262969,3.9328929702179636,1.9831522811468523,-4.548859858512879,-2.387041258811951,-4.166976339285374,5.965646289069365,2.4424672544518105,-5.066634559631348,-2.6162542939186095
15,-5.889133136661052,9.450132533267746,3.0741067862499096,-7.397379446029663,-3.681141221523285,-3.6857199743080136,3.9729309409010005,1.9932212473533892,-4.508700633049012,-2.3351398706436157,-4.120661739339828,5.846184401288569,2.417888417873862,-5.023186540603637,-2.580894088745117
16,-5.872754747934341,9.51199026338971,3.084151465701662,-7.371123361587524,-3.677972507476807,-3.6672780635428426,3.9858941209033985,1.9964704157345778,-4.492155110836029,-2.317584252357483,-4.089241225017309,5.8987362169093425,2.4287314007335894,-5.005103731155396,-2.5610841631889345
17,-5.843605831685066,9.597867633909509,3.0980425487571193,-7.399950695037842,-3.6483545899391174,-3.646930893341303,3.982956366457531,1.9957345430837066,-4.491359162330628,-2.3049858689308165,-4.063203742406369,6.035670328655308,2.4567601284324256,-4.961353981494904,-2.531359815597534
18,-5.827845314804315,9.65039693743208,3.10650880208508,-7.335785722732544,-3.638956558704376,-3.635357807317973,4.015211835524504,2.0037993501158002,-4.468667006492614,-2.289906692504883,-4.050417848441601,5.993771586393283,2.448218043065871,-4.966003489494323,-2.507717823982239
